d000001;Giuseppe;Musso;giuseppe.musso@wanadoo.fr
d000478;Antonello;Lin;antonello.lin@voila.fr
d000479;Fatna;Allkja;fatna.allkja@laposte.net
d000480;Ivo;Fiore;ivo.fiore@earthlink.net
d000481;Micaela;Butera;micaela.butera@tin.it
d000482;Fabiola;Beccaris;fabiola.beccaris@orange.fr
d000483;Zahra;Lorenzato;zahra.lorenzato@yahoo.fr
d000484;Maria;Zanaga;maria.zanaga@uol.com.br
d000485;Hassan;Rolando;hassan.rolando@yahoo.co.uk
d000486;Hamza;Alafleur;hamza.alafleur@hotmail.it
d000487;Secondina;Larocca;secondina.larocca@laposte.net
d000488;Eliana;Amato;eliana.amato@sky.com
d000489;Emanuel;Lafore;emanuel.lafore@yahoo.com.ar
d000490;Nunzia;Aluffi;nunzia.aluffi@verizon.net
d000491;Anila;Varlotta;anila.varlotta@zonnet.nl
d000492;Saverio;Fiora;saverio.fiora@hotmail.co.uk
d000493;Romana;Lazri;romana.lazri@live.co.uk
d000494;Amina;Termini;amina.termini@arcor.de
d000495;Samira;Lo;samira.lo@aol.com
d000496;Attilio;Anselmo;attilio.anselmo@aol.com
d000497;Hajar;Fusco;hajar.fusco@frontiernet.net
d000498;Achille;Aschiero;achille.aschiero@hotmail.de
d000499;Aurelia;Provenzano;aurelia.provenzano@voila.fr
d000500;Dante;Cadeddu;dante.cadeddu@live.it
